127.0.0.1 - - [05/May/2017:08:55:36 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/May/2017:08:55:38 +0530] "GET /OnlineExam/index.jsp HTTP/1.1" 200 3212
0:0:0:0:0:0:0:1 - - [05/May/2017:08:55:39 +0530] "GET /OnlineExam/style_home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:55:39 +0530] "GET /OnlineExam/images/logo1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:55:39 +0530] "GET /OnlineExam/images/images%20(2).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:55:39 +0530] "GET /OnlineExam/images/backimage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:55:39 +0530] "GET /OnlineExam/images/img01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:56:42 +0530] "GET /OnlineExam/index.jsp HTTP/1.1" 200 3212
0:0:0:0:0:0:0:1 - - [05/May/2017:08:56:42 +0530] "GET /OnlineExam/style_home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:56:42 +0530] "GET /OnlineExam/images/logo1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:56:42 +0530] "GET /OnlineExam/images/images%20(2).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:56:42 +0530] "GET /OnlineExam/images/backimage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:56:43 +0530] "GET /OnlineExam/images/img01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:56:43 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [05/May/2017:08:56:46 +0530] "GET /OnlineExam/adm_log.jsp HTTP/1.1" 200 1828
0:0:0:0:0:0:0:1 - - [05/May/2017:08:56:46 +0530] "GET /bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [05/May/2017:08:56:46 +0530] "GET /bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1035
0:0:0:0:0:0:0:1 - - [05/May/2017:08:56:46 +0530] "GET /OnlineExam/css/adminLogin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:56:57 +0530] "POST /OnlineExam/adm_log_in HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [05/May/2017:08:56:57 +0530] "GET /OnlineExam/css/adm_hm.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2017:08:56:57 +0530] "GET /OnlineExam/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
